"SYMBOL 
","UNDERLYING ASSET 
"
NIFTY100EW,Nifty 100 Equal Weight Index
ITBEES,Nifty IT TRI
ITETFADD,DSP Nifty IT ETF
ITETF,Mirae Asset Nifty IT ETF
NIFITETF,UTI Nifty IT ETF
IT,NIFTY IT Index
MODEFENCE,Nifty India Defence Total Return Index
ITIETF,Nifty IT Index
HDFCSILVER,HDFC Silver ETF
QUAL30IETF,ICICI Prudential Nifty 200 Quality 30 ETF
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price
MON100,Nasdaq100
AXISILVER,Axis Silver ETF
HDFCNIFIT,HDFC NIFTY IT ETF
AXISTECETF,NIFTY IT Index
HDFCVALUE,HDFC NIFTY50 Value 20 ETF
LICNMID100,LIC MF Nifty Midcap 100 ETF
SILVERETF,UTI Silver Exchange Traded Fund (UTI Silver ETF)
NV20IETF,Nifty50 Value 20
MOMOMENTUM,Nifty 200 Momentum 30 Total Return Index
GROWWN200,Nifty 200 Index- Total Return Index
SILVRETF,Mirae Asset Silver ETF
GROWWSLVR,Commodity-Silver
SHARIABEES,Shariah
SBIETFIT,Nifty IT Index
SBINEQWETF,Nifty50 Equal Weight
TNIDETF,Nifty India Digital Index
BBNPPGOLD,Baroda BNP Paribas Gold ETF
SILVER,Physical price of Silver
SILVERCASE,Commodity-Silver
MOMENTUM50,Nifty 500 Momentum 50 Total Return Index
IVZINGOLD,Gold
ESILVER,Edelweiss Silver ETF
SILVER1,Kotak Silver ETF
SBIETFQLTY,Nifty 200 Quality 30 Index
TECH,Nifty IT TRI Index
SBISILVER,SBI SILVER ETF
SILVERADD,DSP Silver ETF
HEALTHADD,DSP Nifty Healthcare ETF
MOHEALTH,Motilal Oswal S&P BSE Healthcare ETF
GROWWDEFNC,Nifty India Defence Index- Total Return Index
GOLDETFADD,DSP Gold ETF
PHARMABEES,Nifty Pharma TRI
SILVERIETF,Domestic Price of Silver
NV20,Nifty50 Value 20
TATSILV,Tata Silver Exchange Traded Fund
ALPL30IETF,Nifty Alpha Low-Volatility 30 Index
HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF
GROWWMOM50,Nifty 500 Momentum 50 Index- Total Return Index
MNC,Kotak Nifty MNC ETF
NIF10GETF,UTI Nifty 10 yr Benchmark G-Sec ETF
MIDSELIETF,S&P BSE Midcap Select Index
MOMENTUM,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF
NV20BEES,Nifty50 Value20 TRI
MASPTOP50,S&P 500 Top 50 Total Return Index
TOP100CASE,Zerodha Nifty 100 ETF
MID150CASE,Zerodha Nifty Midcap 150 ETF
MOM30IETF,ICICI Prudential Nifty 200 Momentum 30 ETF
NEXT30ADD,BSE SENSEX Next 30 Index
HEALTHIETF,Nifty Healthcare Index
EQUAL50,Nifty50 Equal Weight
HDFCSML250,HDFC NIFTY Smallcap 250 ETF
EMULTIMQ,Nifty500 Multicap Momentum Quality 50 Total Return Index
MID150,Nifty Midcap 150 Index
HDFCGROWTH,HDFC NIFTY Growth Sectors 15 ETF
FMCGIETF,Nifty FMCG Index
MOQUALITY,Motilal Oswal S&P BSE Quality ETF
HDFCNEXT50,HDFC NIFTY NEXT 50 ETF
LOWVOLIETF,Nifty 100 Low Volatility 30 Index
BSLGOLDETF,Gold
HDFCNIF100,HDFC NIFTY 100 ETF
AONETOTAL,Nifty Total Market Index
SETFNN50,Nifty Next 50
ICICIB22,S&P BSE BHARAT 22 index
ABSLPSE,Aditya Birla Sun Life Nifty PSE ETF
AXISBPSETF,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index
EVIETF,Nifty EV & New Age Automotive ETF
TOP10ADD,Nifty Top 10 Equal Weight Index
EQUAL50ADD,NIFTY 50 Equal Weight Index
CPSEETF,CPSE ETF
LICMFGOLD,Gold
MOPSE,Nifty PSE Total Return Index
HDFCMOMENT,HDFC NIFTY200 Momentum 30 ETF
HDFCQUAL,HDFC NIFTY100 Quality 30 ETF
COMMOIETF,ICICI Prudential Nifty Commodities ETF
DIVOPPBEES,Nifty Dividend Opportunities 50 TRI
JUNIORBEES,Nippon India ETF Nifty Next 50 Junior BeES
PVTBANKADD,DSP Nifty Private Bank ETF
IDFNIFTYET,Nifty 50
UTINEXT50,Nifty Next 50
MOM50,Nifty 50
HEALTHY,Nifty Healthcare TRI
SETF10GILT,Nifty 10 yr Benchmark G-Sec Index
NIFTYQLITY,Aditya Birla Sun Life Nifty 200 Quality 30 ETF
MIDSMALL,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF
GROWWGOLD,Commodity
NEXT50IETF,Nifty Next 50
GOLDIETF,Gold
MON50EQUAL,Nifty 50 Equal Weight Total Return Index
HNGSNGBEES,Hang Seng Index
MONQ50,Nasdaq Q-50 Total Return Index
LICNFNHGP,Nifty 100
MULTICAP,Nifty500 Multicap 50:25:25 Index
LOWVOL1,Kotak Nifty 100 Low Vol 30 ETF
MAFANG,NYSE FANG+ Total Return Index
MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF
MAKEINDIA,Nifty India Manufacturing Total Return Index
UTISENSETF,SENSEX
GOLD360,Commodity � Gold
METAL,Nifty Metal Total Return Index
EGOLD,Edelweiss Gold ETF
AONENIFTY,Nifty 50 Index
MONEXT50,Nifty Next 50 Total Return Index
